x,y
-79.9453,-3.2105
-79.9453,-3.2090
-79.9453,-3.2084
-79.9451,-3.2079
-79.9448,-3.2068
-79.9446,-3.2063
-79.9444,-3.2058
-79.9440,-3.2047
-79.9439,-3.2042
-79.9434,-3.2030
-79.9432,-3.2025
-79.9431,-3.2022
-79.9430,-3.2017
-79.9428,-3.2011
-79.9427,-3.2007
-79.9426,-3.2004
-79.9422,-3.1994
-79.9420,-3.1988
-79.9420,-3.1985
-79.9419,-3.1976
-79.9421,-3.1970
-79.9424,-3.1968
-79.9430,-3.1967
-79.9440,-3.1967
-79.9451,-3.1966
-79.9456,-3.1966
-79.9460,-3.1965
-79.9464,-3.1963
-79.9469,-3.1960
-79.9471,-3.1957
-79.9475,-3.1954
-79.9476,-3.1953
-79.9481,-3.1950
-79.9485,-3.1946
-79.9488,-3.1941
-79.9492,-3.1937
-79.9496,-3.1935
-79.9497,-3.1934
-79.9498,-3.1932
-79.9500,-3.1931
-79.9502,-3.1925
-79.9505,-3.1921
-79.9508,-3.1919
-79.9513,-3.1917
-79.9518,-3.1916
-79.9523,-3.1914
-79.9526,-3.1913
-79.9529,-3.1878
-79.9530,-3.1870
-79.9527,-3.1866
-79.9521,-3.1853
-79.9520,-3.1850
-79.9507,-3.1838
-79.9500,-3.1837
-79.9499,-3.1837
-79.9480,-3.1837
-79.9463,-3.1846
-79.9447,-3.1855
-79.9430,-3.1861
-79.9417,-3.1861
-79.9405,-3.1861
-79.9397,-3.1865
-79.9395,-3.1866
-79.9382,-3.1871
-79.9380,-3.1871
-79.9354,-3.1868
-79.9338,-3.1867
-79.9324,-3.1877
-79.9300,-3.1874
-79.9286,-3.1874
-79.9287,-3.1885
-79.9295,-3.1896
-79.9289,-3.1907
-79.9283,-3.1902
-79.9269,-3.1883
-79.9242,-3.1848
-79.9211,-3.1812
-79.9184,-3.1798
-79.9181,-3.1795
-79.9167,-3.1784
-79.9156,-3.1775
-79.9151,-3.1761
-79.9143,-3.1734
-79.9141,-3.1724
-79.9139,-3.1714
-79.9139,-3.1704
-79.9139,-3.1695
-79.9138,-3.1683
-79.9133,-3.1668
-79.9132,-3.1666
-79.9132,-3.1665
-79.9130,-3.1664
-79.9130,-3.1664
-79.9130,-3.1664
-79.9130,-3.1664
-79.9126,-3.1663
-79.9121,-3.1663
-79.9117,-3.1662
-79.9111,-3.1659
-79.9109,-3.1659
-79.9108,-3.1658
-79.9105,-3.1657
-79.9100,-3.1654
-79.9092,-3.1652
-79.9092,-3.1652
-79.9088,-3.1652
-79.9086,-3.1654
-79.9085,-3.1655
-79.9086,-3.1657
-79.9094,-3.1663
-79.9096,-3.1665
-79.9096,-3.1668
-79.9096,-3.1670
-79.9095,-3.1672
-79.9093,-3.1673
-79.9090,-3.1673
-79.9090,-3.1673
-79.9082,-3.1672
-79.9077,-3.1670
-79.9075,-3.1669
-79.9075,-3.1669
