ID,x,y
490,623348.072,9629117.352
491,623326.954,9629118.25
492,623281.401,9629120.187
493,623255.205,9629125.188
494,623125.899,9629175.327
495,623030.898,9629267.689
496,622941.175,9629431.301
497,622906.869,9629521.024
498,622888.734,9629692.012
499,622888.397,9629695.192
500,622885.758,9629898.387
501,622888.533,9629938.345
502,622868.668,9629938.345
503,622864.187,9629938.141
504,622860.758,9629937.984
505,622835.173,9629937.984
506,622813.227,9629937.984
507,622809.475,9629937.665
508,622806.418,9629937.405
509,622806.413,9629937.405
510,622756.272,9629937.405
511,622752.777,9629937.284
512,622748.949,9629937.152
513,622719.045,9629937.419
514,622712.541,9629937.476
515,622698.223,9629937.604
516,622697.867,9629937.607
517,622695.372,9629937.629
518,622689.923,9629937.896
519,622686.481,9629938.064
520,622691.285,9629952.476
521,622697.019,9629970.955
522,622700.665,9629982.706
523,622701.59,9629985.688
524,622706.225,9629999.373
525,622711.478,9630016.334
526,622713.996,9630024.465
527,622720.334,9630036.697
528,622726.226,9630048.069
529,622730.313,9630048.554
530,622736.551,9630049.295
531,622736.648,9630049.319
532,622738.877,9630049.877
533,622738.974,9630049.902
534,622749.251,9630052.475
535,622762.185,9630050.756
536,622762.409,9630050.727
537,622765.674,9630050.293
538,622770.139,9630049.699
539,622771.397,9630049.532
540,622830.276,9630041.709
541,622895.853,9630043.748
542,622898.953,9630088.389
543,622904.23,9630222.973
544,622869.925,9630299.501
545,622806.591,9630328.529
546,622789.942,9630331.947
547,622772.814,9630335.464
548,622755.484,9630326.953
549,622748.974,9630323.756
550,622741.185,9630319.931
551,622740.924,9630319.803
552,622738.367,9630317.899
553,622711.094,9630297.593
554,622679.965,9630263.293
555,622637.425,9630176.294
556,622603.765,9630082.315
557,622560.585,9630049.295
558,622525.026,9630035.325
559,622492.646,9630046.755
560,622362.467,9630151.534
561,622239.918,9630281.704
562,622197.369,9630298.853
563,622145.166,9630285.803
564,622141.489,9630284.884
565,622116.729,9630268.374
566,622092.6,9630237.254
567,622083.42,9630183.324
568,622083.425,9630158.077
569,622083.425,9630156.424
570,622083.43,9630135.015
571,622070.37,9630095.015
572,622022.75,9630068.986
573,621955.441,9630058.186
574,621909.726,9630061.545
575,621843.042,9630066.446
576,621785.262,9630053.106
577,621758.592,9630053.746
578,621735.092,9630060.726
579,621717.313,9630082.956
580,621694.453,9630094.386
581,621684.343,9630093.246
582,621667.783,9630112.166
583,621621.084,9630144.445
584,621600.868,9630153.147
585,621598.896,9630153.996
586,621591.588,9630157.142
587,621591.457,9630157.198
588,621533.804,9630182.015
589,621506.495,9630190.265
590,621412.515,9630199.155
591,621378.226,9630216.305
592,621336.316,9630251.225
593,621304.566,9630265.835
594,621190.907,9630289.325
595,621005.489,9630360.444
596,620920.4,9630383.944
597,620920.4,9630388.384
598,620884.2,9630375.054
599,620809.271,9630297.585
600,620796.031,9630289.845
601,620775.621,9630286.785
602,620755.301,9630291.235
603,620722.912,9630320.445
604,620682.232,9630332.945
605,620623.182,9630337.665
606,620566.073,9630322.345
607,620540.503,9630320.485
608,620522.913,9630322.835
609,620492.764,9630345.225
610,620473.914,9630368.785
611,620459.394,9630397.274
612,620437.164,9630462.044
613,620428.914,9630472.204
614,620416.214,9630475.384
615,620388.905,9630472.844
616,620330.695,9630437.114
617,620301.275,9630412.515
618,620273.335,9630378.865
619,620260.636,9630371.875
620,620223.176,9630380.135
621,620211.746,9630376.955
622,620183.166,9630345.205
623,620169.886,9630338.155
624,620147.267,9630336.975
625,620122.207,9630343.305
626,620098.267,9630365.255
627,620092.337,9630372.728
628,620083.477,9630365.525
629,620045.377,9630296.946
630,619992.038,9630231.547
631,619860.589,9630150.897
632,619773.599,9630088.038
633,619771.028,9630086.922
634,619739.94,9630073.428
635,619674.54,9630074.068
636,619628.821,9630058.188
637,619590.721,9630038.509
638,619539.281,9629990.249
639,619504.992,9629975.009
640,619415.462,9629987.709
641,619372.283,9629983.899
642,619268.144,9629947.07
643,619056.685,9629903.89
644,618868.097,9629892.461
645,618772.208,9629900.711
646,618746.808,9629910.241
647,618336.475,9630108.679
648,618336.922,9630097.539
649,618328.982,9630078.51
650,618317.552,9630072.8
651,618287.412,9630077.29
652,618263.542,9630092.61
653,618243.443,9630114.999
654,618222.303,9630131.849
655,618219.507,9630133.463
656,618195.835,9630147.122
657,618195.021,9630147.592
658,618172.773,9630160.429
659,618149.284,9630164.239
660,618112.784,9630162.119
661,618066.094,9630148.999
662,618016.045,9630118.54
663,617977.195,9630086.77
664,617927.665,9630068.35
665,617803.206,9630044.221
666,617714.307,9630044.221
667,617693.987,9630033.431
668,617666.048,9629997.871
669,617603.188,9629947.702
670,617574.188,9629933.572
671,617537.149,9629926.752
672,617441.259,9629927.382
673,617415.86,9629917.222
674,617316.17,9629806.103
675,617288.001,9629783.943
676,617255.331,9629778.054
677,617228.541,9629781.334
678,617184.092,9629808.643
679,617157.422,9629832.773
680,617109.162,9629899.443
681,617048.203,9629940.082
682,617024.703,9629942.622
683,616990.243,9629937.102
684,616960.094,9629952.422
685,616935.174,9629992.792
686,616881.638,9630130.357
687,616880.179,9630134.107
688,616876.115,9630144.551
689,616832.295,9630214.4
690,616823.895,9630236.85
691,616798.645,9630271.55
692,616776.156,9630288.68
693,616620.847,9630363.629
694,616569.417,9630401.089
695,616436.699,9630559.208
696,616418.369,9630576.827
697,616392.249,9630591.587
698,616360.31,9630605.597
699,616173.033,9630666.114
700,616170.013,9630667.09
701,615906.484,9630752.246
702,615609.306,9630895.116
703,615539.826,9630921.397
704,615510.247,9630932.585
705,615486.284,9630937.804
706,615486.207,9630937.821
707,615456.256,9630944.344
708,615444.22,9630945.788
709,615310.182,9630925.603
710,615309.52,9630925.503
711,615042.031,9630885.221
712,615031.963,9630883.704
713,614511.998,9630840.585
714,614511.772,9630840.566
715,614362.958,9630828.226
716,614362.007,9630828.147
717,614099.555,9630806.383
718,613963.509,9630787.366
719,613856.362,9630772.388
720,613676.559,9630747.254
721,613453.679,9630723.699
722,613444.939,9630722.775
723,613215.562,9630698.532
724,613117.112,9630688.127
725,612960.055,9630672.222
726,612955.097,9630671.72
727,612870.868,9630663.19
728,612757.793,9630651.74
729,612720.179,9630649.483
730,612712.777,9630649.039
731,612633.787,9630644.299
732,612530.375,9630638.095
733,612361.112,9630616.369
734,612338.544,9630613.472
735,612275.174,9630614.821
736,612193.818,9630616.554
737,612163.025,9630615.012
738,612118.021,9630598.339
739,612111.082,9630570.583
740,612108.306,9630509.518
741,612106.918,9630451.228
742,612113.857,9630379.06
743,612091.652,9630299.953
744,612095.816,9630263.869
